state,city,visit_cnt,cctv_cnt,sclight_cnt,smalight_cnt,strlamp_cnt,crime_rate,avg_pop_density,mean_hours,mean_days,new_state
강원도,강릉시,26334028.0,1699.0,12301.0,64.0,,0.0271,90.36,324.4,1.62,강원도 강릉시
강원도,고성군,11612683.0,422.0,,94.0,,0.0271,90.36,375.2,1.56,강원도 고성군
강원도,동해시,6798468.0,330.0,4555.0,184.0,,0.0271,90.36,287.0,1.7,강원도 동해시
강원도,삼척시,8614642.0,932.0,7813.0,46.0,,0.0271,90.36,318.6,1.6800000000000002,강원도 삼척시
강원도,속초시,19495563.0,441.0,3118.0,,,0.0271,90.36,280.2,1.4,강원도 속초시
강원도,양구군,1828609.0,296.0,190.0,22.0,,0.0271,90.36,387.2,1.8,강원도 양구군
강원도,양양군,12223645.0,347.0,4391.0,40.0,,0.0271,90.36,291.4,1.42,강원도 양양군
강원도,영월군,6076641.0,281.0,2.0,,,0.0271,90.36,364.0,1.56,강원도 영월군
강원도,원주시,18754440.0,2820.0,10937.0,986.0,,0.0271,90.36,313.4,1.8,강원도 원주시
강원도,인제군,4844677.0,280.0,2034.0,,,0.0271,90.36,276.8,1.7,강원도 인제군
강원도,정선군,8151609.0,515.0,,13.0,,0.0271,90.36,427.8,1.62,강원도 정선군
강원도,철원군,4682440.0,684.0,3798.0,,,0.0271,90.36,339.4,1.64,강원도 철원군
강원도,춘천시,20571796.0,955.0,11336.0,27.0,12850.0,0.0271,90.36,279.6,1.7,강원도 춘천시
강원도,태백시,3006113.0,216.0,3077.0,56.0,,0.0271,90.36,310.0,1.9,강원도 태백시
강원도,평창군,13399820.0,190.0,6747.0,,,0.0271,90.36,395.8,1.62,강원도 평창군
강원도,홍천군,15125927.0,428.0,1191.0,37.0,,0.0271,90.36,388.8,1.54,강원도 홍천군
강원도,화천군,2436790.0,239.0,,,,0.0271,90.36,357.6,1.66,강원도 화천군
강원도,횡성군,8203706.0,779.0,8165.0,,,0.0271,90.36,241.0,1.56,강원도 횡성군
경기도,가평군,22165414.0,,9119.0,206.0,,0.2489,1303.4,316.6,1.36,경기도 가평군
경기도,고양시,75590328.0,1945.0,12095.0,165.0,42.0,0.2489,1303.4,156.66666666666666,1.9066666666666665,경기도 고양시
경기도,과천시,11689863.0,346.0,1118.0,195.0,,0.2489,1303.4,144.0,1.98,경기도 과천시
경기도,광명시,19988936.0,781.0,2251.0,121.0,,0.2489,1303.4,158.8,1.86,경기도 광명시
경기도,광주시,24572754.0,2609.0,13306.0,6596.0,7529.0,0.2489,1303.4,210.0,1.78,경기도 광주시
경기도,구리시,14650351.0,608.0,3241.0,23.0,,0.2489,1303.4,138.6,1.88,경기도 구리시
경기도,군포시,12981628.0,826.0,2616.0,781.0,,0.2489,1303.4,198.0,1.88,경기도 군포시
경기도,김포시,27252137.0,1394.0,499.0,956.0,19499.0,0.2489,1303.4,204.6,1.86,경기도 김포시
경기도,남양주시,32359722.0,4769.0,14346.0,2895.0,,0.2489,1303.4,212.6,1.88,경기도 남양주시
경기도,동두천시,5186687.0,472.0,3161.0,434.0,,0.2489,1303.4,226.6,1.78,경기도 동두천시
경기도,부천시,35880751.0,2052.0,19365.0,50.0,,0.2489,1303.4,207.2,1.94,경기도 부천시
경기도,성남시,72943910.0,2958.0,10253.0,2652.0,,0.2489,1303.4,187.8,1.8866666666666667,경기도 성남시
경기도,수원시,89140646.0,4358.0,15994.0,203.0,24704.0,0.2489,1303.4,177.5,1.87,경기도 수원시
경기도,시흥시,29339680.0,1760.0,10621.0,1538.0,,0.2489,1303.4,202.4,1.82,경기도 시흥시
경기도,안산시,40341932.0,2600.0,12933.0,2404.0,21173.0,0.2489,1303.4,213.3,1.86,경기도 안산시
경기도,안성시,16722693.0,1404.0,19944.0,12.0,,0.2489,1303.4,193.8,1.7399999999999998,경기도 안성시
경기도,안양시,37310529.0,2371.0,,1425.0,,0.2489,1303.4,174.4,1.83,경기도 안양시
경기도,양주시,18266354.0,1299.0,9987.0,982.0,,0.2489,1303.4,216.2,1.82,경기도 양주시
경기도,양평군,17775311.0,2551.0,10000.0,321.0,1830.0,0.2489,1303.4,211.0,1.48,경기도 양평군
경기도,여주시,15958339.0,667.0,7984.0,42.0,,0.2489,1303.4,193.2,1.6800000000000002,경기도 여주시
경기도,연천군,5752900.0,530.0,4675.0,147.0,,0.2489,1303.4,284.8,1.52,경기도 연천군
경기도,오산시,12377728.0,650.0,8091.0,17.0,,0.2489,1303.4,199.4,1.94,경기도 오산시
경기도,용인시,77271845.0,2173.0,19949.0,,,0.2489,1303.4,213.2,1.9,경기도 용인시
경기도,의왕시,13791999.0,1339.0,2221.0,55.0,10462.0,0.2489,1303.4,153.2,1.86,경기도 의왕시
경기도,의정부시,21491635.0,1723.0,4881.0,30.0,,0.2489,1303.4,219.8,1.88,경기도 의정부시
경기도,이천시,18611759.0,6423.0,11111.0,706.0,,0.2489,1303.4,198.6,1.8,경기도 이천시
경기도,파주시,33382554.0,3594.0,4604.0,6817.0,,0.2489,1303.4,214.8,1.78,경기도 파주시
경기도,평택시,24993680.0,2321.0,10561.0,1740.0,,0.2489,1303.4,283.4,1.88,경기도 평택시
경기도,포천시,21473221.0,1400.0,10000.0,34.0,,0.2489,1303.4,263.4,1.58,경기도 포천시
경기도,하남시,26398271.0,1867.0,3448.0,633.0,,0.2489,1303.4,150.2,1.88,경기도 하남시
경기도,화성시,52221879.0,11327.0,17499.0,,43553.0,0.2489,1303.4,232.6,1.84,경기도 화성시
경상남도,거제시,17161520.0,695.0,8562.0,75.0,,0.0722,316.54,335.8,1.7600000000000002,경상남도 거제시
경상남도,거창군,4982448.0,1975.0,6994.0,76.0,,0.0722,316.54,282.2,1.58,경상남도 거창군
경상남도,고성군,6947294.0,383.0,5092.0,16.0,,0.0722,316.54,239.8,1.54,경상남도 고성군
경상남도,김해시,25778962.0,4329.0,10963.0,333.0,,0.0722,316.54,225.4,1.84,경상남도 김해시
경상남도,남해군,8308463.0,840.0,6154.0,56.0,,0.0722,316.54,326.2,1.46,경상남도 남해군
경상남도,밀양시,11592518.0,809.0,10158.0,65.0,,0.0722,316.54,260.0,1.6,경상남도 밀양시
경상남도,사천시,10782048.0,2392.0,,59.0,,0.0722,316.54,210.6,1.64,경상남도 사천시
경상남도,산청군,6766942.0,952.0,7611.0,18.0,,0.0722,316.54,299.0,1.48,경상남도 산청군
경상남도,양산시,21190391.0,1464.0,6918.0,456.0,,0.0722,316.54,209.8,1.84,경상남도 양산시
경상남도,의령군,3148850.0,759.0,5273.0,41.0,,0.0722,316.54,268.0,1.6,경상남도 의령군
경상남도,진주시,15446016.0,1497.0,15284.0,929.0,,0.0722,316.54,281.8,1.7399999999999998,경상남도 진주시
경상남도,창녕군,7475572.0,722.0,5354.0,51.0,,0.0722,316.54,248.2,1.54,경상남도 창녕군
경상남도,창원시,70350393.0,2772.0,25215.0,214.0,,0.0722,316.54,177.76,1.84,경상남도 창원시
경상남도,통영시,12995256.0,2030.0,6150.0,77.0,,0.0722,316.54,291.8,1.46,경상남도 통영시
경상남도,하동군,5929506.0,1598.0,7043.0,1.0,,0.0722,316.54,275.2,1.54,경상남도 하동군
경상남도,함안군,6369946.0,1196.0,7043.0,71.0,,0.0722,316.54,216.8,1.72,경상남도 함안군
경상남도,함양군,4254845.0,584.0,5037.0,49.0,,0.0722,316.54,323.2,1.62,경상남도 함양군
경상남도,합천군,6182340.0,667.0,6901.0,17.0,,0.0722,316.54,287.4,1.54,경상남도 합천군
경상북도,경산시,16998140.0,894.0,13735.0,173.0,6008.0,0.0451,139.72,243.8,1.78,경상북도 경산시
경상북도,경주시,38655235.0,2385.0,9870.0,67.0,5905.0,0.0451,139.72,279.4,1.56,경상북도 경주시
경상북도,고령군,4130449.0,1054.0,,18.0,880.0,0.0451,139.72,223.4,1.62,경상북도 고령군
경상북도,구미시,14423885.0,3771.0,15830.0,47.0,11181.0,0.0451,139.72,290.0,1.86,경상북도 구미시
경상북도,군위군,4507241.0,6.0,131.0,,3446.0,0.0451,139.72,185.4,1.52,경상북도 군위군
경상북도,김천시,9252574.0,2288.0,10000.0,20.0,6006.0,0.0451,139.72,289.8,1.7,경상북도 김천시
경상북도,문경시,7170584.0,1942.0,763.0,,10596.0,0.0451,139.72,276.4,1.56,경상북도 문경시
경상북도,봉화군,3340126.0,843.0,6137.0,11.0,4830.0,0.0451,139.72,332.2,1.6800000000000002,경상북도 봉화군
경상북도,상주시,7985361.0,661.0,10000.0,82.0,2138.0,0.0451,139.72,270.8,1.66,경상북도 상주시
경상북도,성주군,5609808.0,476.0,7507.0,6.0,5843.0,0.0451,139.72,257.8,1.56,경상북도 성주군
경상북도,안동시,10848781.0,858.0,13310.0,6.0,13433.0,0.0451,139.72,278.0,1.7,경상북도 안동시
경상북도,영덕군,7662591.0,2.0,5700.0,,5736.0,0.0451,139.72,267.2,1.52,경상북도 영덕군
경상북도,영양군,1383464.0,361.0,3649.0,,2455.0,0.0451,139.72,421.2,1.7600000000000002,경상북도 영양군
경상북도,영주시,6101190.0,770.0,,,9211.0,0.0451,139.72,333.8,1.7,경상북도 영주시
경상북도,영천시,9153044.0,1677.0,8229.0,42.0,2889.0,0.0451,139.72,253.0,1.62,경상북도 영천시
경상북도,예천군,4498955.0,761.0,11351.0,,770.0,0.0451,139.72,316.8,1.66,경상북도 예천군
경상북도,울릉군,1550183.0,103.0,,,1189.0,0.0451,139.72,594.8,2.38,경상북도 울릉군
경상북도,울진군,6649839.0,446.0,12020.0,77.0,8254.0,0.0451,139.72,380.6,1.62,경상북도 울진군
경상북도,의성군,5062927.0,1341.0,,19.0,767.0,0.0451,139.72,278.8,1.6,경상북도 의성군
경상북도,청도군,9108502.0,265.0,4677.0,,1238.0,0.0451,139.72,250.6,1.48,경상북도 청도군
경상북도,청송군,3577423.0,172.0,5268.0,28.0,3618.0,0.0451,139.72,303.2,1.66,경상북도 청송군
경상북도,칠곡군,11755220.0,1849.0,6354.0,11.0,9952.0,0.0451,139.72,205.2,1.72,경상북도 칠곡군
경상북도,포항시,35744059.0,1497.0,14350.0,35.0,11765.0,0.0451,139.72,245.9,1.6800000000000002,경상북도 포항시
광주광역시,광산구,23058395.0,726.0,10272.0,101.0,,0.0283,2964.74,230.0,1.84,광주광역시 광산구
광주광역시,남구,11754137.0,49.0,10854.0,16.0,3052.0,0.0283,2964.74,232.6,1.88,광주광역시 남구
광주광역시,동구,17787826.0,81.0,3958.0,28.0,,0.0283,2964.74,159.8,1.86,광주광역시 동구
광주광역시,북구,21537937.0,813.0,9913.0,48.0,6563.0,0.0283,2964.74,226.0,1.86,광주광역시 북구
광주광역시,서구,25262298.0,51.0,7199.0,62.0,,0.0283,2964.74,192.6,1.7600000000000002,광주광역시 서구
대구광역시,남구,12824887.0,882.0,7295.0,112.0,,0.0494,2744.8,171.4,1.7600000000000002,대구광역시 남구
대구광역시,달서구,30276440.0,1837.0,10047.0,63.0,,0.0494,2744.8,223.6,1.86,대구광역시 달서구
대구광역시,달성군,17945462.0,1583.0,9905.0,9.0,,0.0494,2744.8,210.4,1.86,대구광역시 달성군
대구광역시,동구,31917750.0,1294.0,14576.0,69.0,,0.0494,2744.8,180.4,1.7600000000000002,대구광역시 동구
대구광역시,북구,24537397.0,1943.0,10873.0,34.0,,0.0494,2744.8,213.8,1.86,대구광역시 북구
대구광역시,서구,11138468.0,733.0,8880.0,24.0,,0.0494,2744.8,178.6,1.7600000000000002,대구광역시 서구
대구광역시,수성구,27523974.0,2471.0,11617.0,62.0,,0.0494,2744.8,198.2,1.86,대구광역시 수성구
대구광역시,중구,33277757.0,718.0,3919.0,31.0,,0.0494,2744.8,120.0,1.7399999999999998,대구광역시 중구
대전광역시,대덕구,10395456.0,893.0,8295.0,66.0,5824.0,0.0307,2781.58,203.0,1.7600000000000002,대전광역시 대덕구
대전광역시,동구,14914106.0,581.0,15122.0,,5790.0,0.0307,2781.58,189.2,1.7399999999999998,대전광역시 동구
대전광역시,서구,28856747.0,757.0,15407.0,67.0,9244.0,0.0307,2781.58,219.0,1.84,대전광역시 서구
대전광역시,유성구,27320667.0,581.0,8595.0,72.0,17266.0,0.0307,2781.58,219.6,1.86,대전광역시 유성구
대전광역시,중구,20269458.0,738.0,12589.0,35.0,4958.0,0.0307,2781.58,185.4,1.7399999999999998,대전광역시 중구
부산광역시,강서구,19444382.0,598.0,4750.0,,19623.0,0.0767,4378.44,144.8,1.6800000000000002,부산광역시 강서구
부산광역시,금정구,16931732.0,35.0,4775.0,9.0,,0.0767,4378.44,189.2,1.84,부산광역시 금정구
부산광역시,기장군,29660105.0,1259.0,5613.0,81.0,11333.0,0.0767,4378.44,151.0,1.64,부산광역시 기장군
부산광역시,남구,15577364.0,1.0,4516.0,76.0,4453.0,0.0767,4378.44,191.4,1.88,부산광역시 남구
부산광역시,동구,11561944.0,1318.0,3488.0,26.0,2900.0,0.0767,4378.44,116.2,1.7399999999999998,부산광역시 동구
부산광역시,동래구,20855490.0,1236.0,4495.0,40.0,4532.0,0.0767,4378.44,173.4,1.86,부산광역시 동래구
부산광역시,부산진구,40807634.0,1007.0,9379.0,24.0,108252.0,0.0767,4378.44,161.2,1.84,부산광역시 부산진구
부산광역시,북구,12227947.0,746.0,3803.0,70.0,4521.0,0.0767,4378.44,196.4,1.9,부산광역시 북구
부산광역시,사상구,14960253.0,442.0,3820.0,,,0.0767,4378.44,170.0,1.84,부산광역시 사상구
부산광역시,사하구,13128200.0,517.0,5549.0,,6042.0,0.0767,4378.44,218.0,1.94,부산광역시 사하구
부산광역시,서구,10770669.0,483.0,5106.0,21.0,2848.0,0.0767,4378.44,163.4,1.82,부산광역시 서구
부산광역시,수영구,21710532.0,2998.0,3279.0,,4009.0,0.0767,4378.44,150.6,1.7399999999999998,부산광역시 수영구
부산광역시,연제구,16127086.0,570.0,3308.0,48.0,103916.0,0.0767,4378.44,184.4,1.84,부산광역시 연제구
부산광역시,영도구,7845749.0,535.0,4464.0,3.0,,0.0767,4378.44,163.0,1.78,부산광역시 영도구
부산광역시,중구,16500983.0,461.0,1783.0,21.0,1777.0,0.0767,4378.44,104.2,1.54,부산광역시 중구
부산광역시,해운대구,41781617.0,899.0,3640.0,11.0,,0.0767,4378.44,195.0,1.84,부산광역시 해운대구
서울특별시,강남구,104234311.0,6186.0,10211.0,4231.0,,0.1929,15899.1,170.8,1.9,서울특별시 강남구
서울특별시,강동구,23811589.0,2813.0,7534.0,1037.0,,0.1929,15899.1,207.8,1.94,서울특별시 강동구
서울특별시,강북구,18389096.0,2300.0,9777.0,22.0,,0.1929,15899.1,215.8,1.82,서울특별시 강북구
서울특별시,강서구,44623950.0,1509.0,8646.0,898.0,,0.1929,15899.1,197.6,1.88,서울특별시 강서구
서울특별시,관악구,28871647.0,1662.0,12401.0,988.0,3026.0,0.1929,15899.1,243.2,1.9,서울특별시 관악구
서울특별시,광진구,30162718.0,923.0,8971.0,775.0,4715.0,0.1929,15899.1,162.8,1.86,서울특별시 광진구
서울특별시,구로구,29354234.0,1779.0,8015.0,1051.0,,0.1929,15899.1,187.2,1.88,서울특별시 구로구
서울특별시,금천구,17887377.0,778.0,6301.0,709.0,,0.1929,15899.1,227.6,1.86,서울특별시 금천구
서울특별시,노원구,27025796.0,2405.0,6791.0,59.0,,0.1929,15899.1,194.2,1.98,서울특별시 노원구
서울특별시,도봉구,13500031.0,,6344.0,1.0,627.0,0.1929,15899.1,196.8,1.88,서울특별시 도봉구
서울특별시,동대문구,25212154.0,904.0,,740.0,5205.0,0.1929,15899.1,192.0,1.88,서울특별시 동대문구
서울특별시,동작구,24449832.0,876.0,9202.0,1676.0,,0.1929,15899.1,194.8,1.94,서울특별시 동작구
서울특별시,마포구,57629525.0,1222.0,7405.0,849.0,,0.1929,15899.1,162.0,1.84,서울특별시 마포구
서울특별시,서대문구,29049617.0,870.0,7252.0,401.0,3230.0,0.1929,15899.1,190.0,1.88,서울특별시 서대문구
서울특별시,서초구,66065788.0,8344.0,11405.0,34.0,,0.1929,15899.1,140.8,1.88,서울특별시 서초구
서울특별시,성동구,32246871.0,1313.0,223.0,898.0,,0.1929,15899.1,179.0,1.88,서울특별시 성동구
서울특별시,성북구,23093998.0,1682.0,10000.0,1040.0,,0.1929,15899.1,213.2,1.88,서울특별시 성북구
서울특별시,송파구,67132498.0,1245.0,5578.0,881.0,,0.1929,15899.1,184.2,1.92,서울특별시 송파구
서울특별시,양천구,21226066.0,1135.0,7468.0,677.0,4836.0,0.1929,15899.1,197.8,1.98,서울특별시 양천구
서울특별시,영등포구,59398308.0,4307.0,9052.0,1185.0,9615.0,0.1929,15899.1,178.8,1.82,서울특별시 영등포구
서울특별시,용산구,40898683.0,809.0,9925.0,590.0,3605.0,0.1929,15899.1,125.6,1.82,서울특별시 용산구
서울특별시,은평구,18163752.0,2804.0,,1067.0,,0.1929,15899.1,230.8,1.96,서울특별시 은평구
서울특별시,종로구,62277137.0,777.0,8723.0,108.0,,0.1929,15899.1,130.0,1.84,서울특별시 종로구
서울특별시,중구,58305758.0,969.0,6189.0,632.0,,0.1929,15899.1,121.4,1.6800000000000002,서울특별시 중구
서울특별시,중랑구,17451091.0,1805.0,9117.0,1777.0,6419.0,0.1929,15899.1,207.4,1.88,서울특별시 중랑구
세종특별자치시,세종특별자치시,18211355.0,1218.0,8029.0,23.0,15458.0,0.004100000000000001,708.64,290.4,1.8,세종특별자치시 세종특별자치시
울산광역시,남구,23391189.0,3467.0,6314.0,807.0,,0.0136,1074.94,183.2,1.88,울산광역시 남구
울산광역시,동구,8656125.0,1376.0,2504.0,454.0,,0.0136,1074.94,235.8,1.88,울산광역시 동구
울산광역시,북구,13739394.0,762.0,4413.0,484.0,,0.0136,1074.94,198.6,1.92,울산광역시 북구
울산광역시,울주군,20883111.0,731.0,14157.0,466.0,,0.0136,1074.94,211.6,1.8,울산광역시 울주군
울산광역시,중구,11762026.0,730.0,5082.0,730.0,,0.0136,1074.94,159.2,1.92,울산광역시 중구
인천광역시,강화군,14278033.0,743.0,9978.0,296.0,,0.0587,2765.640000000001,267.8,1.46,인천광역시 강화군
인천광역시,계양구,14553275.0,1377.0,3378.0,554.0,,0.0587,2765.640000000001,193.2,1.9,인천광역시 계양구
인천광역시,남동구,31589189.0,1147.0,6726.0,83.0,17820.0,0.0587,2765.640000000001,207.6,1.86,인천광역시 남동구
인천광역시,동구,4142727.0,614.0,3057.0,289.0,,0.0587,2765.640000000001,149.6,1.7600000000000002,인천광역시 동구
인천광역시,미추홀구,22630637.0,1812.0,9052.0,197.0,4407.0,0.0587,2765.640000000001,195.6,1.85,인천광역시 미추홀구
인천광역시,부평구,26921360.0,946.0,7290.0,952.0,,0.0587,2765.640000000001,197.6,1.88,인천광역시 부평구
인천광역시,서구,26448716.0,1382.0,5117.0,997.0,22540.0,0.0587,2765.640000000001,228.8,1.96,인천광역시 서구
인천광역시,연수구,27682375.0,688.0,1895.0,119.0,,0.0587,2765.640000000001,214.8,1.88,인천광역시 연수구
인천광역시,옹진군,5335076.0,130.0,,11.0,2055.0,0.0587,2765.640000000001,384.8,1.78,인천광역시 옹진군
인천광역시,중구,33713028.0,658.0,2572.0,523.0,3230.0,0.0587,2765.640000000001,181.6,1.58,인천광역시 중구
전라남도,강진군,3740185.0,10.0,4446.0,10.0,,0.0343,144.78000000000003,261.4,1.66,전라남도 강진군
전라남도,고흥군,6272801.0,815.0,,55.0,,0.0343,144.78000000000003,375.4,1.64,전라남도 고흥군
전라남도,곡성군,4226304.0,535.0,5334.0,23.0,3230.0,0.0343,144.78000000000003,255.6,1.62,전라남도 곡성군
전라남도,광양시,8771935.0,149.0,2069.0,93.0,,0.0343,144.78000000000003,288.4,1.66,전라남도 광양시
전라남도,구례군,4508394.0,406.0,4028.0,42.0,,0.0343,144.78000000000003,282.4,1.52,전라남도 구례군
전라남도,나주시,9991461.0,1.0,14326.0,,,0.0343,144.78000000000003,241.4,1.7,전라남도 나주시
전라남도,담양군,9896824.0,167.0,6815.0,8.0,,0.0343,144.78000000000003,177.0,1.56,전라남도 담양군
전라남도,목포시,13322553.0,628.0,9301.0,56.0,,0.0343,144.78000000000003,263.0,1.7600000000000002,전라남도 목포시
전라남도,무안군,7905238.0,,6715.0,,,0.0343,144.78000000000003,248.2,1.66,전라남도 무안군
전라남도,보성군,5021637.0,1076.0,,49.0,,0.0343,144.78000000000003,264.8,1.58,전라남도 보성군
전라남도,순천시,15604612.0,3137.0,9998.0,291.0,10725.0,0.0343,144.78000000000003,257.8,1.66,전라남도 순천시
전라남도,신안군,5041641.0,,8233.0,,,0.0343,144.78000000000003,343.6,1.8,전라남도 신안군
전라남도,여수시,22749986.0,995.0,20630.0,139.0,,0.0343,144.78000000000003,338.8,1.58,전라남도 여수시
전라남도,영광군,5336313.0,390.0,10293.0,46.0,,0.0343,144.78000000000003,272.6,1.6800000000000002,전라남도 영광군
전라남도,영암군,5679392.0,241.0,8190.0,14.0,,0.0343,144.78000000000003,260.2,1.7,전라남도 영암군
전라남도,완도군,4462985.0,334.0,6816.0,,,0.0343,144.78000000000003,368.2,1.8,전라남도 완도군
전라남도,장성군,6298224.0,550.0,5258.0,64.0,,0.0343,144.78000000000003,231.8,1.58,전라남도 장성군
전라남도,장흥군,3497919.0,831.0,7026.0,6.0,,0.0343,144.78000000000003,307.6,1.66,전라남도 장흥군
전라남도,진도군,3988482.0,968.0,7243.0,14.0,,0.0343,144.78000000000003,320.4,1.7399999999999998,전라남도 진도군
전라남도,함평군,4155929.0,490.0,6450.0,35.0,,0.0343,144.78000000000003,223.8,1.62,전라남도 함평군
전라남도,해남군,5926721.0,75.0,9087.0,15.0,1993.0,0.0343,144.78000000000003,302.4,1.7399999999999998,전라남도 해남군
전라남도,화순군,7974709.0,360.0,12491.0,32.0,,0.0343,144.78000000000003,236.0,1.58,전라남도 화순군
전라북도,고창군,6594234.0,409.0,2131.0,132.0,,0.0324,224.08,244.4,1.62,전라북도 고창군
전라북도,군산시,14570140.0,2096.0,17676.0,69.0,16668.0,0.0324,224.08,294.6,1.7,전라북도 군산시
전라북도,김제시,6939151.0,,12875.0,,,0.0324,224.08,226.4,1.66,전라북도 김제시
전라북도,남원시,7050244.0,1.0,297.0,9.0,,0.0324,224.08,285.4,1.64,전라북도 남원시
전라북도,무주군,5540989.0,858.0,3530.0,42.0,,0.0324,224.08,284.2,1.46,전라북도 무주군
전라북도,부안군,8348346.0,307.0,8972.0,23.0,,0.0324,224.08,333.0,1.58,전라북도 부안군
전라북도,순창군,3490554.0,249.0,6551.0,50.0,,0.0324,224.08,250.0,1.62,전라북도 순창군
전라북도,완주군,12077380.0,421.0,12727.0,157.0,,0.0324,224.08,231.8,1.56,전라북도 완주군
전라북도,익산시,11833840.0,904.0,18203.0,18.0,,0.0324,224.08,285.6,1.7600000000000002,전라북도 익산시
전라북도,임실군,3962770.0,478.0,4671.0,38.0,,0.0324,224.08,172.6,1.56,전라북도 임실군
전라북도,장수군,2188173.0,335.0,2597.0,23.0,,0.0324,224.08,312.4,1.64,전라북도 장수군
전라북도,전주시,39869993.0,1604.0,20920.0,147.0,,0.0324,224.08,235.9,1.8,전라북도 전주시
전라북도,정읍시,7356258.0,454.0,12747.0,63.0,,0.0324,224.08,263.8,1.66,전라북도 정읍시
전라북도,진안군,3642548.0,578.0,6066.0,56.0,,0.0324,224.08,279.6,1.54,전라북도 진안군
제주특별자치도,서귀포시,39656928.0,228.0,7247.0,71.0,29567.0,0.0189,357.7,361.4,1.86,제주특별자치도 서귀포시
제주특별자치도,제주시,51413358.0,932.0,26295.0,,43465.0,0.0189,357.7,362.2,1.88,제주특별자치도 제주시
충청남도,계룡시,2659639.0,,1059.0,,,0.0368,264.24,242.0,1.86,충청남도 계룡시
충청남도,공주시,14043498.0,1505.0,4313.0,76.0,9.0,0.0368,264.24,190.4,1.54,충청남도 공주시
충청남도,금산군,6287439.0,608.0,8764.0,28.0,,0.0368,264.24,240.4,1.6,충청남도 금산군
충청남도,논산시,9658307.0,1196.0,14236.0,144.0,,0.0368,264.24,256.4,1.64,충청남도 논산시
충청남도,당진시,12448236.0,2392.0,9794.0,51.0,34.0,0.0368,264.24,259.2,1.7,충청남도 당진시
충청남도,보령시,14844914.0,756.0,11057.0,37.0,44.0,0.0368,264.24,333.0,1.6,충청남도 보령시
충청남도,부여군,6693349.0,497.0,11640.0,,10.0,0.0368,264.24,254.6,1.64,충청남도 부여군
충청남도,서산시,10572464.0,1080.0,13080.0,728.0,100.0,0.0368,264.24,278.0,1.7,충청남도 서산시
충청남도,서천군,6124687.0,873.0,11319.0,77.0,,0.0368,264.24,254.8,1.58,충청남도 서천군
충청남도,아산시,21636895.0,3125.0,24098.0,1.0,47.0,0.0368,264.24,271.6,1.7399999999999998,충청남도 아산시
충청남도,예산군,9170315.0,482.0,4302.0,40.0,,0.0368,264.24,240.2,1.54,충청남도 예산군
충청남도,천안시,44388410.0,5930.0,19706.0,1671.0,,0.0368,264.24,230.7,1.7399999999999998,충청남도 천안시
충청남도,청양군,3481715.0,375.0,6735.0,62.0,,0.0368,264.24,295.8,1.54,충청남도 청양군
충청남도,태안군,16666400.0,3651.0,1740.0,37.0,,0.0368,264.24,398.6,1.42,충청남도 태안군
충청남도,홍성군,7132408.0,653.0,9460.0,104.0,100.0,0.0368,264.24,261.2,1.64,충청남도 홍성군
충청북도,괴산군,6815705.0,640.0,3.0,,,0.0299,219.2,273.6,1.52,충청북도 괴산군
충청북도,단양군,6679972.0,287.0,1499.0,21.0,,0.0299,219.2,283.2,1.48,충청북도 단양군
충청북도,보은군,4737641.0,316.0,6349.0,99.0,,0.0299,219.2,298.2,1.54,충청북도 보은군
충청북도,영동군,4133509.0,1.0,6076.0,,,0.0299,219.2,296.4,1.64,충청북도 영동군
충청북도,옥천군,5458308.0,333.0,9941.0,112.0,,0.0299,219.2,198.0,1.54,충청북도 옥천군
충청북도,음성군,9368860.0,4500.0,21397.0,353.0,,0.0299,219.2,281.6,1.78,충청북도 음성군
충청북도,제천시,12125010.0,979.0,9024.0,314.0,,0.0299,219.2,324.8,1.6,충청북도 제천시
충청북도,증평군,2848031.0,910.0,3869.0,8.0,,0.0299,219.2,233.0,1.6800000000000002,충청북도 증평군
충청북도,진천군,8030068.0,692.0,2.0,,121.0,0.0299,219.2,258.0,1.7,충청북도 진천군
충청북도,청주시,62425138.0,9.0,25432.0,,,0.0299,219.2,208.15,1.765,충청북도 청주시
충청북도,충주시,14797862.0,1578.0,10600.0,219.0,,0.0299,219.2,296.8,1.64,충청북도 충주시
